MT,source,MMs
TypeA2TypeB_v1,ATLzoo/TypeA2TypeB_v1.tar.gz, TypeA.ecore
TypeA2TypeB_v2,ATLzoo/TypeA2TypeB_v2.tar.gz, TypeA.ecore
TypeA2TypeB_v3,ATLzoo/TypeA2TypeB_v3.tar.gz, TypeA.ecore
TypeA2TypeB_v3_firstStep,ATLzoo/TypeA2TypeB_v3_firstStep.tar.gz, TypeA.ecore
TypeA2TypeB_v3_secondStep,ATLzoo/TypeA2TypeB_v3_secondStep.tar.gz, TypeA.ecore
TypeA2TypeB_v4,ATLzoo/TypeA2TypeB_v4.tar.gz, TypeA.ecore
UML22Measure,ATLzoo/UML22Measure.tar.gz, Measure.ecore
UML2KM3,ATLzoo/UML2KM3.tar.gz, KM3.ecore
UML2OWL,ATLzoo/UML2OWL.tar.gz, OWL.ecore
UMLDI2SVG,ATLzoo/UMLDI2SVG.tar.gz, SVG.ecore
WSDL2R2ML,ATLzoo/WSDL2R2ML.tar.gz,
WSDL2XML,ATLzoo/WSDL2XML.tar.gz, XML.ecore
XHTML2XML,ATLzoo/XHTML2XML.tar.gz,XHTML.ecore XML.ecore
XML2ATOM,ATLzoo/XML2ATOM.tar.gz,XML.ecore ATOM.ecore
XML2CPL,ATLzoo/XML2CPL.tar.gz,XML.ecore CPL.ecore
XML2KML,ATLzoo/XML2KML.tar.gz,XML.ecore KML.ecore
XML2MySQL,ATLzoo/XML2MySQL.tar.gz,XML.ecore MySQL.ecore
XML2R2ML,ATLzoo/XML2R2ML.tar.gz, XML.ecore
XML2RSS,ATLzoo/XML2RSS.tar.gz,XML.ecore RSS.ecore
XML2Text,ATLzoo/XML2Text.tar.gz, XML.ecore
XML2WSDL,ATLzoo/XML2WSDL.tar.gz, XML.ecore
XML2XML,ATLzoo/XML2XML.tar.gz,XML.ecore XML.ecore
XML2XSLT,ATLzoo/XML2XSLT.tar.gz,XML.ecore XSLT.ecore
XMLHelpers,ATLzoo/XMLHelpers.tar.gz,
XQuery2Code,ATLzoo/XQuery2Code.tar.gz, XQuery.ecore
XSLT2XQuery,ATLzoo/XSLT2XQuery.tar.gz,XSLT.ecore XQuery.ecore
